Date,Open,High,Low,Close,Volume,Adj Close
2000-07-12,87800.1,87800.1,87800.1,87800.1,600,27926.51
2000-07-13,98300.1,98300.1,98300.1,98300.1,277200,31266.24
2000-07-14,110000.1,110000.1,104499.9,110000.1,499200,34987.65
2000-07-17,110000.1,110000.1,110000.1,110000.1,0,34987.65
2000-07-18,123000,123000,123000,123000,29700,39122.52
2000-07-19,123000,123000,123000,123000,29700,39122.52
2000-07-20,153999.9,153999.9,120999.9,120999.9,1557300,38486.35
2000-07-21,120999.9,125000.1,106500,111999.9,819600,35623.73
2000-07-24,108999.9,119000.1,99000,99900,574800,31775.12
2000-07-25,99000,111500.1,98100,111500.1,278700,35464.75
2000-07-26,116499.9,122000.1,102000,104000.1,1218900,33079.23
2000-07-27,104000.1,107499.9,96500.1,96999.9,544200,30852.69
2000-07-28,94899.9,99000,89499.9,90500.1,883500,28785.3
2000-07-31,87800.1,96399.9,85500,93200.1,794100,29644.09
2000-08-01,95900.1,104000.1,93999.9,104000.1,421800,33079.23
2000-08-02,109500,116000.1,101499.9,102999.9,1256400,32761.1
2000-08-03,102999.9,111000,102999.9,106500,727800,33874.38
2000-08-04,108500.1,108999.9,99399.9,102000,496500,32443.06
2000-08-07,99500.1,107499.9,99500.1,101499.9,439200,32284
2000-08-08,102999.9,113499.9,101499.9,105999.9,1522200,33715.31
2000-08-09,105999.9,108000,101499.9,104499.9,393300,33238.21
2000-08-10,104499.9,107499.9,99699.9,101499.9,411900,32284
2000-08-11,99500.1,99999.9,91500,95700,609600,30439.23
2000-08-14,96999.9,98900.1,93500.1,93999.9,298200,29898.48
2000-08-15,93999.9,93999.9,93999.9,93999.9,0,29898.48
2000-08-16,93000,97500,91100.1,95300.1,623700,30312.03
2000-08-17,96000,96699.9,89199.9,90900,522600,28912.5
2000-08-18,90999.9,92499.9,83499.9,88899.9,491400,28276.33
2000-08-21,84099.9,88400.1,81999.9,82700.1,351900,26304.36
2000-08-22,81999.9,89000.1,81399.9,86000.1,538800,27353.99
2000-08-23,87900,90500.1,84500.1,84500.1,521100,26876.88
2000-08-24,85100.1,86900.1,80600.1,81600,259200,25954.45
2000-08-25,80100,84000,77400,81099.9,335400,25795.39
2000-08-28,82200,90800.1,81099.9,90800.1,633600,28880.72
2000-08-29,92000.1,100500,90099.9,93999.9,824700,29898.48
2000-08-30,95100,104000.1,94899.9,100500,684900,31965.96
2000-08-31,102999.9,105999.9,95000.1,97599.9,1013400,31043.53
2000-09-01,98499.9,101499.9,97800,99999.9,315900,31806.89
2000-09-04,102999.9,111999.9,102999.9,111999.9,281400,35623.73
2000-09-05,120999.9,123999.9,112500,117500.1,1488000,37373.17
2000-09-06,114999.9,126000,112500,116000.1,1200300,36896.07
2000-09-07,114999.9,120500.1,111000,114500.1,1479000,36418.96
2000-09-08,116000.1,128000.1,101499.9,107000.1,2811900,34033.44
2000-09-11,107000.1,107000.1,107000.1,107000.1,0,34033.44
2000-09-12,107000.1,107000.1,107000.1,107000.1,0,34033.44
2000-09-13,107000.1,107000.1,107000.1,107000.1,0,34033.44
2000-09-14,101000.1,105500.1,97200,103500,424800,32920.17
2000-09-15,101000.1,107499.9,98499.9,98799.9,493500,31425.21
2000-09-18,93000,94500,87000,87399.9,558900,27799.22
2000-09-19,88299.9,93600,86000.1,90399.9,634500,28753.43
2000-09-20,94400.1,101000.1,93999.9,101000.1,418200,32125.03
2000-09-21,105999.9,108500.1,92000.1,99999.9,1564200,31806.89
2000-09-22,99500.1,99999.9,90500.1,92000.1,591900,29262.4
2000-09-25,96000,102999.9,93099.9,102500.1,725100,32602.13
2000-09-26,99999.9,105999.9,98499.9,101499.9,648600,32284
2000-09-27,104000.1,111999.9,103500,107000.1,764700,34033.44
2000-09-28,107000.1,110000.1,103500,106500,395700,33874.38
2000-09-29,108999.9,119000.1,106500,119000.1,1021500,37850.27
2000-10-02,119000.1,132000,114999.9,128000.1,1487100,40712.9
2000-10-03,128000.1,128000.1,128000.1,128000.1,0,40712.9
2000-10-04,125000.1,132000,121500,127500,1089900,40553.83
2000-10-05,129500.1,129999.9,122499.9,123500.1,900000,39281.58
2000-10-06,120999.9,123000,117000,122000.1,755100,38804.48
2000-10-09,122000.1,128499.9,114000,116000.1,665700,36896.07
2000-10-10,113000.1,122499.9,111000,120999.9,821100,38486.35
2000-10-11,117999.9,120500.1,111000,114000,459300,36259.9
2000-10-12,113000.1,116000.1,111999.9,114999.9,415200,36577.93
2000-10-13,108000,111000,101499.9,102999.9,1002300,32761.1
2000-10-16,102999.9,102999.9,102999.9,102999.9,0,32761.1
2000-10-17,107000.1,111000,96500.1,96500.1,593400,30693.71
2000-10-18,90099.9,101000.1,90099.9,99900,769500,31775.12
2000-10-19,99999.9,105500.1,98100,101000.1,537900,32125.03
2000-10-20,105999.9,108999.9,101000.1,101499.9,456600,32284
2000-10-23,100500,102000,96500.1,97599.9,286800,31043.53
2000-10-24,97100.1,99999.9,95000.1,97299.9,344100,30948.11
2000-10-25,96000,105500.1,95700,96800.1,1035600,30789.14
2000-10-26,95000.1,95900.1,90600,92600.1,362100,29453.24
2000-10-27,92600.1,92600.1,92600.1,92600.1,0,29453.24
2000-10-30,99000,103500,87399.9,88299.9,1216200,28085.48
2000-10-31,83000.1,89000.1,77799.9,88299.9,925200,28085.48
2000-11-01,90000,92000.1,87999.9,88500,717000,28149.13
2000-11-02,86499.9,93999.9,86499.9,89799.9,690900,28562.59
2000-11-03,90099.9,94299.9,89499.9,92000.1,669300,29262.4
2000-11-06,91500,93399.9,90500.1,92799.9,339600,29516.8
2000-11-07,93800.1,97500,90699.9,90999.9,1004700,28944.27
2000-11-08,89900.1,90999.9,87200.1,89000.1,259800,28308.2
2000-11-09,87999.9,89900.1,87000,88700.1,181500,28212.77
2000-11-10,87500.1,91599.9,87500.1,90399.9,222600,28753.43
2000-11-13,88500,89799.9,86799.9,87500.1,178800,27831.09
2000-11-14,88599.9,89499.9,87200.1,88400.1,213300,28117.35
2000-11-15,90999.9,95900.1,89300.1,92000.1,657900,29262.4
2000-11-16,95000.1,95499.9,92100,92799.9,375600,29516.8
2000-11-17,91800,92000.1,90099.9,91200,169200,29007.92
2000-11-20,90200.1,90900,89000.1,90000,129300,28626.23
2000-11-21,87600,88800,85599.9,87600,159300,27862.87
2000-11-22,87600,88500,85200,86700,153900,27576.6
2000-11-23,84600,85400.1,81099.9,81900,173400,26049.87
2000-11-24,80100,88800,80000.1,85200,252600,27099.5
2000-11-27,85500,87900,85500,86499.9,156900,27512.96
2000-11-28,84200.1,84999.9,81500.1,82299.9,154500,26177.07
2000-11-29,80000.1,80199.9,72500.1,72600,488100,23091.83
2000-11-30,72099.9,73800,65300.1,68000.1,496800,21628.74
2000-12-01,64100.1,70500,63500.1,68700,472800,21851.36
2000-12-04,70599.9,71700,65499.9,67400.1,426900,21437.9
2000-12-05,66999.9,69999.9,65799.9,69999.9,270900,22264.82
2000-12-06,75200.1,76500,71000.1,71400,581400,22710.15
2000-12-07,70100.1,72200.1,69099.9,69999.9,226200,22264.82
2000-12-08,71000.1,72900,70500,72000,215700,22900.99
2000-12-11,73100.1,80000.1,72500.1,79400.1,567000,25254.73
2000-12-12,79800,80900.1,75099.9,75999.9,342000,24173.23
2000-12-13,77100,83000.1,76400.1,80499.9,537300,25604.54
2000-12-14,78999.9,83900.1,78099.9,82100.1,443400,26113.52
2000-12-15,80499.9,81500.1,78099.9,78699.9,159300,25032.02
2000-12-18,77000.1,78000,75200.1,76700.1,195300,24395.94
2000-12-19,74499.9,76500,70599.9,72099.9,270600,22932.76
2000-12-20,69999.9,70500,65100,65400,227700,20801.73
2000-12-21,60600,63000,57600,58200,688800,18511.63
2000-12-22,59000.1,60500.1,51699.9,52100.1,409500,16571.44
2000-12-26,54500.1,54600,50199.9,53499.9,358500,17016.67
2001-01-02,50499.9,59900.1,50499.9,59900.1,402000,19052.38
2001-01-03,58100.1,65499.9,56100,62000.1,929100,19720.33
2001-01-04,67500,69399.9,66500.1,69399.9,526200,22073.98
2001-01-05,68499.9,77700,67599.9,76200,681600,24236.88
2001-01-08,74000.1,80300.1,72999.9,76100.1,476700,24205.1
2001-01-09,76100.1,78500.1,74499.9,76500,646800,24332.3
2001-01-10,76500,83000.1,68499.9,68799.9,1035000,21883.13
2001-01-11,75999.9,76599.9,69999.9,76500,714600,24332.3
2001-01-12,81800.1,85599.9,80100,85599.9,642000,27226.7
2001-01-15,90000,95799.9,90000,95799.9,1010100,30471
2001-01-16,94500,98000.1,89799.9,93200.1,822600,29644.09
2001-01-17,92000.1,95000.1,84999.9,89499.9,540300,28467.17
2001-01-18,88500,92000.1,87000,89499.9,315300,28467.17
2001-01-19,90999.9,93000,90600,92000.1,315300,29262.4
2001-01-22,95000.1,100500,93999.9,99000,490200,31488.86
2001-01-26,98100,99000,89000.1,89499.9,521400,28467.17
2001-01-29,85100.1,90999.9,85100.1,86000.1,437100,27353.99
2001-01-30,87999.9,89300.1,85200,85500,410100,27194.92
2001-01-31,84000,89700,82100.1,87999.9,308400,27990.06
2001-02-01,87999.9,98499.9,86600.1,96099.9,692100,30566.42
2001-02-02,96999.9,103500,96999.9,99999.9,637200,31806.89
2001-02-05,93500.1,96999.9,89799.9,93500.1,192000,29739.51
2001-02-06,90600,94299.9,90500.1,93399.9,195900,29707.64
2001-02-07,92900.1,96800.1,91599.9,92499.9,151200,29421.38
2001-02-08,92499.9,96200.1,92499.9,94400.1,161100,30025.77
2001-02-09,95000.1,97599.9,93600,96000,261300,30534.65
2001-02-12,94800,98400,93800.1,96000,248700,30534.65
2001-02-13,98000.1,99800.1,96099.9,96999.9,216000,30852.69
2001-02-14,97100.1,97100.1,95000.1,96000,151500,30534.65
2001-02-15,99000,107499.9,98499.9,107499.9,577200,34192.41
2001-02-16,110000.1,118500,107000.1,116499.9,607800,37055.04
2001-02-19,113499.9,120000,112500,116499.9,213600,37055.04
2001-02-20,116499.9,117999.9,108000,110000.1,218700,34987.65
2001-02-21,102999.9,108999.9,102999.9,105500.1,280500,33556.34
2001-02-22,101000.1,107499.9,96099.9,98000.1,330000,31170.82
2001-02-23,95100,97800,93200.1,93900,358200,29866.7
2001-02-26,94500,105000,94299.9,105000,282600,33397.27
2001-02-27,107000.1,107499.9,92600.1,99000,292800,31488.86
2001-02-28,90200.1,98000.1,90099.9,95100,144000,30248.39
2001-03-02,95199.9,96300,86799.9,88500,174600,28149.13
2001-03-05,85400.1,89499.9,82599.9,87999.9,332100,27990.06
2001-03-06,89000.1,94599.9,89000.1,89000.1,340800,28308.2
2001-03-07,92100,96500.1,92100,94500,367200,30057.55
2001-03-08,95700,98499.9,94700.1,95100,241500,30248.39
2001-03-09,93099.9,101000.1,92000.1,95499.9,225300,30375.58
2001-03-12,92000.1,98499.9,88899.9,90999.9,201900,28944.27
2001-03-13,84999.9,89000.1,83700,85500,357300,27194.92
2001-03-15,86499.9,92199.9,86499.9,90600,180900,28817.07
2001-03-16,90999.9,92600.1,90600,91400.1,135300,29071.56
2001-03-19,90000,92000.1,88599.9,89499.9,111600,28467.17
2001-03-20,90600,91899.9,87500.1,88899.9,160200,28276.33
2001-03-21,86000.1,92799.9,86000.1,91599.9,243000,29135.11
2001-03-22,92700,93999.9,90500.1,90900,152100,28912.5
2001-03-23,91500,92700,90699.9,91500,88800,29103.34
2001-03-26,93999.9,97700.1,92300.1,95499.9,186600,30375.58
2001-03-27,96999.9,96999.9,93000,93099.9,126000,29612.22
2001-03-28,95000.1,95000.1,90500.1,90500.1,140100,28785.3
2001-03-29,87500.1,90200.1,87000,87900,255000,27958.29
2001-03-30,88899.9,89199.9,84500.1,86600.1,169800,27544.83
2001-04-02,86600.1,87500.1,84999.9,86000.1,90600,27353.99
2001-04-03,83100,85800,83100,85500,111900,27194.92
2001-04-04,85500,89499.9,84999.9,86799.9,185100,27608.38
2001-04-06,95000.1,95000.1,89700,90000,241500,28626.23
2001-04-09,89499.9,89799.9,86600.1,87000,76500,27672.03
2001-04-10,87999.9,89400,85500,86400,99900,27481.18
2001-04-11,89000.1,91500,87600,90999.9,197700,28944.27
2001-04-12,92000.1,93999.9,90099.9,93500.1,162900,29739.51
2001-04-13,95199.9,95199.9,92100,92900.1,89400,29548.67
2001-04-16,93399.9,97800,92900.1,94700.1,192300,30121.19
2001-04-17,93999.9,95499.9,93200.1,94299.9,53400,29993.9
2001-04-18,96099.9,103500,96099.9,99999.9,310500,31806.89
2001-04-19,106500,111999.9,105999.9,111999.9,895800,35623.73
2001-04-20,114999.9,116000.1,104499.9,107000.1,374400,34033.44
2001-04-23,106500,114000,105000,108000,261600,34351.48
2001-04-24,105000,105999.9,102500.1,104499.9,128400,33238.21
2001-04-25,104000.1,117000,102000,117000,356100,37214.1
2001-04-26,104000.1,117000,102000,117000,356100,37214.1
2001-04-27,117000,122499.9,115500,120000,135900,38168.31
2001-04-30,122000.1,126500.1,119000.1,120000,289500,38168.31
2001-05-02,123000,125499.9,120500.1,122499.9,220800,38963.45
2001-05-03,122499.9,122499.9,117500.1,119000.1,81900,37850.27
2001-05-04,114000,123999.9,114000,117999.9,186000,37532.14
2001-05-07,119499.9,122000.1,111000,114500.1,460500,36418.96
2001-05-08,112500,114000,101000.1,102000,918000,32443.06
2001-05-09,99000,105500.1,95300.1,99000,650700,31488.86
2001-05-10,99000,103500,98799.9,99900,438900,31775.12
2001-05-11,98000.1,109500,98000.1,107000.1,560700,34033.44
2001-05-14,107000.1,110000.1,104000.1,108000,324000,34351.48
2001-05-15,108999.9,120000,108999.9,116499.9,886800,37055.04
2001-05-16,119000.1,123000,114000,116000.1,498300,36896.07
2001-05-17,120000,129500.1,117500.1,129500.1,706500,41190
2001-05-18,129500.1,144999.9,123999.9,144999.9,1449900,46120.01
2001-05-21,147999.9,150000,137499.9,138999.9,1007700,44211.6
2001-05-22,141500.1,147000,129500.1,141000,1275900,44847.77
2001-05-23,138999.9,145500,135000,141000,822300,44847.77
2001-05-24,135999.9,138999.9,133500,133500,306600,42462.25
2001-05-25,131000.1,135500.1,129999.9,129999.9,274200,41348.97
2001-05-28,127500,132500.1,125499.9,125499.9,209100,39917.66
2001-05-29,125499.9,132500.1,125499.9,129999.9,357600,41348.97
2001-05-30,127500,134499.9,127500,131000.1,168300,41667.1
2001-05-31,129500.1,132999.9,127500,129999.9,234000,41348.97
2001-06-01,132500.1,133500,128499.9,131000.1,148200,41667.1
2001-06-04,131000.1,132500.1,126000,128000.1,129300,40712.9
2001-06-05,128000.1,131000.1,125499.9,128000.1,185700,40712.9
2001-06-07,126000,128000.1,120999.9,122000.1,175200,38804.48
2001-06-08,125000.1,126000,122000.1,124500,213600,39599.62
2001-06-11,121500,123999.9,120000,121500,150900,38645.42
2001-06-12,120000,124500,120000,121500,103500,38645.42
2001-06-13,123000,123500.1,120500.1,122000.1,73500,38804.48
2001-06-14,121500,131499.9,121500,127500,223800,40553.83
2001-06-15,126500.1,129000,123000,129000,215100,41030.93
2001-06-18,129000,129000,124500,126500.1,90600,40235.79
2001-06-19,123999.9,126000,122499.9,123000,175500,39122.52
2001-06-20,122000.1,123500.1,114999.9,120000,168600,38168.31
2001-06-21,120999.9,123999.9,117999.9,117999.9,189600,37532.14
2001-06-22,117000,121500,117000,118500,111600,37691.21
2001-06-25,118500,121500,116000.1,117000,125700,37214.1
2001-06-26,117000,117999.9,107000.1,108000,222600,34351.48
2001-06-27,105000,108000,99500.1,103500,494400,32920.17
2001-06-28,105000,110000.1,100500,101000.1,362400,32125.03
2001-06-29,104000.1,107499.9,102999.9,106500,279000,33874.38
2001-07-02,107499.9,113499.9,107499.9,110000.1,236100,34987.65
2001-07-03,110000.1,111999.9,106500,111500.1,143400,35464.75
2001-07-04,111500.1,111500.1,107499.9,109500,61500,34828.58
2001-07-05,108000,110000.1,107000.1,108500.1,101700,34510.55
2001-07-06,105500.1,107000.1,103500,104000.1,99000,33079.23
2001-07-09,99999.9,101000.1,94500,98499.9,239100,31329.79
2001-07-10,99999.9,102000,98600.1,99000,188700,31488.86
2001-07-11,95000.1,96099.9,93500.1,94500,252900,30057.55
2001-07-12,96999.9,101000.1,96500.1,99999.9,202200,31806.89
2001-07-13,101499.9,102999.9,95199.9,96000,187500,30534.65
2001-07-16,95000.1,97400.1,93800.1,95499.9,81600,30375.58
2001-07-18,95000.1,95600.1,89000.1,89600.1,263400,28499.04
2001-07-19,87000,88200,85400.1,87800.1,491400,27926.51
2001-07-20,86000.1,87399.9,83700,84999.9,438300,27035.86
2001-07-23,86000.1,86000.1,79500,81000,357000,25763.61
2001-07-24,81099.9,83900.1,77300.1,82500,506700,26240.71
2001-07-25,80600.1,85400.1,80199.9,82700.1,320100,26304.36
2001-07-26,84000,87000,83300.1,84500.1,310200,26876.88
2001-07-27,85500,87399.9,85200,86300.1,237300,27449.41
2001-07-30,86799.9,87699.9,86199.9,86300.1,208800,27449.41
2001-07-31,86000.1,86900.1,85500,85700.1,197100,27258.57
2001-08-01,85700.1,90999.9,85500,89499.9,455100,28467.17
2001-08-02,90500.1,93200.1,87999.9,92000.1,322500,29262.4
2001-08-03,93200.1,94599.9,89499.9,94599.9,246000,30089.32
2001-08-06,95600.1,99800.1,95000.1,98499.9,427800,31329.79
2001-08-07,96999.9,99800.1,95600.1,97299.9,196500,30948.11
2001-08-08,96500.1,98000.1,94299.9,97299.9,184200,30948.11
2001-08-09,94500,102000,94500,99699.9,295200,31711.47
2001-08-10,101499.9,102999.9,99800.1,99999.9,300300,31806.89
2001-08-13,99999.9,101000.1,98100,99099.9,87600,31520.63
2001-08-14,99600,101499.9,99200.1,99900,177900,31775.12
2001-08-16,98900.1,108000,98499.9,105500.1,321000,33556.34
2001-08-17,105500.1,108000,104000.1,105000,147600,33397.27
2001-08-20,102500.1,104000.1,100500,102000,96600,32443.06
2001-08-21,101499.9,105999.9,101499.9,104000.1,111600,33079.23
2001-08-22,102000,112500,102000,112500,364500,35782.79
2001-08-23,114500.1,117500.1,111500.1,111500.1,413700,35464.75
2001-08-24,111999.9,114999.9,107499.9,108000,195600,34351.48
2001-08-27,111000,111999.9,108000,108000,130800,34351.48
2001-08-28,107000.1,111000,105999.9,110499.9,127800,35146.62
2001-08-29,108000,113499.9,107499.9,108999.9,251700,34669.52
2001-08-30,107000.1,111000,106500,110000.1,106800,34987.65
2001-08-31,108000,108500.1,102000,103500,177300,32920.17
2001-09-03,104000.1,104499.9,99500.1,102999.9,97500,32761.1
2001-09-04,104000.1,108000,102999.9,107499.9,106200,34192.41
2001-09-05,106500,110499.9,105500.1,108500.1,147000,34510.55
2001-09-06,110000.1,111000,108000,108500.1,54900,34510.55
2001-09-07,107499.9,110499.9,106500,109500,68700,34828.58
2001-09-10,107499.9,110000.1,106500,107499.9,72600,34192.41
2001-09-11,107499.9,108500.1,103500,104000.1,87300,33079.23
2001-09-12,92000.1,94899.9,92000.1,92000.1,242700,29262.4
2001-09-13,92600.1,96800.1,92000.1,96000,237600,30534.65
2001-09-14,94899.9,95000.1,86199.9,91299.9,185700,29039.69
2001-09-17,89000.1,89000.1,86000.1,88100.1,150300,28021.93
2001-09-18,93200.1,95799.9,91100.1,93300,100200,29675.86
2001-09-19,94500,94899.9,91200,92499.9,74100,29421.38
2001-09-20,93999.9,93999.9,88100.1,90000,171900,28626.23
2001-09-21,87999.9,89700,87000,89000.1,43500,28308.2
2001-09-25,90000,91500,88899.9,89000.1,71700,28308.2
2001-09-26,89600.1,90000,88599.9,89499.9,27300,28467.17
2001-09-27,89499.9,90500.1,89100,90200.1,28500,28689.88
2001-10-04,98100,105000,96999.9,102999.9,123600,32761.1
2001-10-05,101499.9,102500.1,99099.9,99999.9,43500,31806.89
2001-10-08,99999.9,100500,96999.9,98600.1,24600,31361.66
2001-10-09,99200.1,102000,99200.1,100500,51900,31965.96
2001-10-10,100500,102999.9,100500,101000.1,71100,32125.03
2001-10-11,105000,110499.9,105000,108000,200400,34351.48
2001-10-12,110000.1,113000.1,110000.1,112500,260100,35782.79
2001-10-15,112500,112500,108000,110499.9,69900,35146.62
2001-10-16,110499.9,111500.1,107000.1,110499.9,78300,35146.62
2001-10-17,111500.1,114999.9,110499.9,114000,143100,36259.9
2001-10-18,111999.9,111999.9,109500,109500,34200,34828.58
2001-10-19,108000,120000,106500,111999.9,181200,35623.73
2001-10-22,111999.9,115500,111000,111999.9,40800,35623.73
2001-10-23,111999.9,114500.1,111000,112500,119100,35782.79
2001-10-24,111000,120000,111000,119000.1,135300,37850.27
2001-10-25,120000,123999.9,117000,119000.1,193500,37850.27
2001-10-26,120000,122499.9,120000,121500,132600,38645.42
2001-10-29,123999.9,123999.9,119499.9,120000,42600,38168.31
2001-10-30,118500,118500,113499.9,114999.9,80700,36577.93
2001-10-31,111000,120500.1,111000,116000.1,138300,36896.07
2001-11-01,119000.1,119499.9,116499.9,117999.9,30900,37532.14
2001-11-02,120000,120999.9,117000,117999.9,37800,37532.14
2001-11-05,117000,119499.9,117000,119000.1,20400,37850.27
2001-11-06,123000,124500,120500.1,123999.9,137100,39440.56
2001-11-07,125000.1,125000.1,122499.9,123999.9,76200,39440.56
2001-11-08,123500.1,125000.1,122000.1,125000.1,52800,39758.69
2001-11-12,120000,123000,120000,120999.9,20400,38486.35
2001-11-13,120999.9,124500,120500.1,123000,47400,39122.52
2001-11-14,125000.1,128499.9,123000,128000.1,146700,40712.9
2001-11-15,128000.1,128499.9,122000.1,125000.1,47400,39758.69
2001-11-16,126000,126000,120999.9,123000,144000,39122.52
2001-11-19,120000,123999.9,120000,123000,41700,39122.52
2001-11-20,122499.9,126500.1,122499.9,126500.1,134400,40235.79
2001-11-21,126000,133500,126000,133500,175800,42462.25
2001-11-22,135000,142500,133500,138500.1,226200,44052.62
2001-11-23,144999.9,144999.9,138500.1,140499.9,145500,44688.7
2001-11-26,141500.1,153999.9,140499.9,149499.9,250500,47551.32
2001-11-27,150999.9,154500,144000,150000,179700,47710.39
2001-11-28,149000.1,158000.1,143000.1,146499.9,348000,46597.12
2001-11-29,143499.9,147999.9,132500.1,147000,275700,46756.18
