Date,Open,High,Low,Close,Volume,Adj Close
2000-01-04,300000,305500,283000,305500,1483900,288073.65
2000-01-05,290000,303000,276000,279000,1493600,263085.26
2000-01-06,287500,289000,279000,281000,1087800,264971.18
2000-01-07,278000,283500,268000,277000,806100,261199.35
2000-01-10,280000,288500,279000,288500,937600,272043.37
2000-01-11,291000,305000,288500,288500,1194900,272043.37
2000-01-12,280500,287000,280000,286000,584400,269685.97
2000-01-13,280000,287000,278000,285500,823800,269214.49
2000-01-14,286000,294000,284000,291500,987500,274872.24
2000-01-17,300000,309000,296000,305000,1270100,287602.17
2000-01-18,308000,308000,299000,305000,905200,287602.17
2000-01-19,300000,302000,298000,298000,804100,281001.47
2000-01-20,293000,302000,291000,302000,746300,284773.3
2000-01-21,297500,299000,294000,294000,650700,277229.63
2000-01-24,290000,295000,285000,285000,687100,268743.01
2000-01-25,276000,282000,272000,272000,885000,256484.56
2000-01-26,275000,276000,270500,274000,585700,258370.47
2000-01-27,274000,281000,271500,276000,558000,260256.39
2000-01-28,282000,294000,277000,291000,766300,274400.76
2000-01-31,282000,286500,278000,279000,792600,263085.26
2000-02-01,280000,284000,263000,266000,1429400,250826.81
2000-02-02,261000,268500,255500,262500,1282100,247526.46
2000-02-03,262500,273000,248500,256500,2855300,241868.71
2000-02-04,256500,256500,256500,256500,0,241868.71
2000-02-07,257000,266500,252000,262000,1282800,247054.98
2000-02-08,267000,274000,265500,271500,1169200,256013.08
2000-02-09,278000,286000,274000,286000,1021000,269685.97
2000-02-10,283000,294000,280000,288000,1236900,271571.89
2000-02-11,298000,298000,284000,285000,693200,268743.01
2000-02-14,280000,283000,267000,269000,882800,253655.69
2000-02-15,269000,271000,257000,260000,766300,245169.06
2000-02-16,259000,260000,239000,250000,1462300,235739.48
2000-02-17,247000,255000,245500,254000,1303700,239511.32
2000-02-18,268500,281500,258000,265000,2175000,249883.85
2000-02-21,260000,263000,251500,253500,529700,239039.84
2000-02-22,250000,262000,250000,256000,483600,241397.23
2000-02-23,261000,263000,255000,257000,554400,242340.19
2000-02-24,256000,262000,253000,253500,521500,239039.84
2000-02-25,254000,257500,249000,256000,557500,241397.23
2000-02-28,250000,252500,240000,240000,602800,226309.91
2000-02-29,245000,257000,242000,256000,1036400,241397.23
2000-03-01,256000,256000,256000,256000,0,241397.23
2000-03-02,294000,294000,276000,294000,2355000,277229.63
2000-03-03,310000,312500,294000,300000,2819800,282887.38
2000-03-06,300000,302500,280000,282000,783000,265914.14
2000-03-07,280000,282000,274000,281000,601400,264971.18
2000-03-08,276000,300000,275000,296000,649200,279115.55
2000-03-09,298500,299000,281000,281000,1117800,264971.18
2000-03-10,289500,290000,276000,277000,572100,261199.35
2000-03-13,274000,274500,258000,259000,644300,244226.11
2000-03-14,258500,269000,258000,260500,601200,245640.54
2000-03-15,260000,270000,256000,270000,922100,254598.64
2000-03-16,274000,276000,268000,270000,575900,254598.64
2000-03-17,277000,278000,270000,274000,481600,258370.47
2000-03-20,280000,285500,276500,283000,527300,266857.1
2000-03-21,285000,297000,280500,294000,898500,277229.63
2000-03-22,298000,315000,294000,310000,1739500,292316.96
2000-03-23,324000,329000,310000,310000,1299000,292316.96
2000-03-24,316000,356000,309000,340000,1805200,320605.7
2000-03-27,348000,352000,335000,340000,1354600,320605.7
2000-03-28,345000,363000,341000,351500,1488500,331449.72
2000-03-29,351500,384000,349000,383000,1561800,361152.89
2000-03-30,376000,378000,352500,352500,1492900,332392.67
2000-03-31,340000,353500,332500,335000,1277100,315890.91
2000-04-03,346000,366000,343000,355000,1136100,334750.07
2000-04-04,350000,364500,333000,340000,1166800,320605.7
2000-04-05,340000,340000,340000,340000,0,320605.7
2000-04-06,343000,348000,334000,334000,944700,314947.95
2000-04-07,343000,363000,339000,360000,847100,339464.86
2000-04-10,375000,375000,360000,365000,717700,344179.65
2000-04-11,360000,360000,347500,355000,581500,334750.07
2000-04-12,348000,351500,343000,345500,705000,325791.97
2000-04-13,345500,345500,345500,345500,0,325791.97
2000-04-14,330000,334000,313000,313000,1247300,295145.83
2000-04-17,271000,287500,267000,276000,1561000,260256.39
2000-04-18,310000,312000,293000,302000,1474600,284773.3
2000-04-19,315000,323000,293000,300000,1212300,282887.38
2000-04-20,298000,308000,296000,301000,746700,283830.34
2000-04-21,303000,309000,298500,302500,528500,285244.78
2000-04-24,298500,301500,288000,290000,556600,273457.8
2000-04-25,281000,288000,276000,282000,698000,265914.14
2000-04-26,291000,293000,280000,280000,785800,264028.22
2000-04-27,276000,285000,270000,270000,1082200,254598.64
2000-04-28,275000,305000,273000,300000,1510600,282887.38
2000-05-01,300000,300000,300000,300000,0,282887.38
2000-05-02,310000,326500,306000,314000,1446700,296088.79
2000-05-03,312000,313000,304500,309000,531700,291374
2000-05-04,311000,318000,307000,309000,522000,291374
2000-05-05,309000,309000,309000,309000,0,291374
2000-05-08,320000,335000,315000,328000,1053900,309290.2
2000-05-09,328000,328000,328000,328000,0,309290.2
2000-05-10,316000,319500,313500,317500,552400,299389.15
2000-05-11,317500,317500,317500,317500,0,299389.15
2000-05-12,321000,322000,308000,308000,943400,290431.04
2000-05-15,314500,326500,311000,322000,942400,303632.46
2000-05-16,325500,340000,325500,340000,792400,320605.7
2000-05-17,350000,367000,346000,346000,1524700,326263.45
2000-05-18,337000,350000,334000,340000,731600,320605.7
2000-05-19,337000,345000,330000,345000,829000,325320.49
2000-05-22,336000,341500,331000,333500,727700,314476.47
2000-05-23,325000,335000,317500,319000,825800,300803.58
2000-05-24,308000,318500,296000,310000,1443000,292316.96
2000-05-25,316500,319000,296500,300000,1719300,282887.38
2000-05-26,295000,299500,280000,280000,1342000,264028.22
2000-05-29,263000,284000,262000,273000,1342600,257427.52
2000-05-30,273000,273000,273000,273000,0,257427.52
2000-05-31,300000,314500,298000,308000,1678700,290431.04
2000-06-01,310000,320500,306000,315000,1004600,297031.75
2000-06-02,334500,345000,325500,331000,1687700,312119.08
2000-06-05,346000,349000,334000,337000,960200,317776.83
2000-06-06,337000,337000,337000,337000,0,317776.83
2000-06-07,330000,349000,325500,340000,1067300,320605.7
2000-06-08,333000,348000,326500,326500,1171000,307875.77
2000-06-09,330000,352000,326500,351000,1277200,330978.24
2000-06-12,360000,364000,351500,359500,990300,338993.38
2000-06-13,353000,355000,343500,353000,849900,332864.15
2000-06-14,361500,382000,354500,382000,1260400,360209.93
2000-06-15,378000,378000,350000,350000,1224500,330035.28
2000-06-16,345000,348000,335500,337000,1329100,317776.83
2000-06-19,330000,347500,327500,335000,1071200,315890.91
2000-06-20,347000,359000,341500,357000,1195800,336635.98
2000-06-21,365000,369000,353500,354000,751700,333807.11
2000-06-22,362000,363500,348000,352000,672700,331921.19
2000-06-23,349000,350500,343000,350000,584300,330035.28
2000-06-26,355000,368000,349500,360500,799600,339936.34
2000-06-27,366000,372000,359500,365500,910700,344651.13
2000-06-28,361000,377000,361000,376000,945900,354552.18
2000-06-29,380000,387000,369000,374500,1222400,353137.75
2000-06-30,372000,377000,364500,369000,705000,347951.48
2000-07-03,372000,377500,371000,375000,519500,353609.23
2000-07-04,380000,381000,367500,367500,656200,346537.04
2000-07-05,369500,376000,367500,371500,497900,350308.87
2000-07-06,362000,367500,359000,365000,1206800,344179.65
2000-07-07,367000,373000,361500,368000,811600,347008.52
2000-07-10,372000,381500,370500,380000,850100,358324.02
2000-07-11,379000,387000,372500,372500,698900,351251.83
2000-07-12,376000,383000,373000,382000,802800,360209.93
2000-07-13,385000,394000,378500,388000,976100,365867.68
2000-07-14,389000,392000,377000,377500,608500,355966.62
2000-07-17,377500,377500,377500,377500,0,355966.62
2000-07-18,377500,381000,372000,373000,392100,351723.31
2000-07-19,377500,381000,372000,373000,392100,351723.31
2000-07-20,353000,355500,342000,345000,806300,325320.49
2000-07-21,348000,352500,338000,346000,967900,326263.45
2000-07-24,332000,337000,318000,319000,980300,300803.58
2000-07-25,315500,320000,306000,314000,1134700,296088.79
2000-07-26,320000,329000,318000,327500,1094900,308818.72
2000-07-27,311000,318000,305000,311500,870800,293731.4
2000-07-28,290000,295500,285500,286500,1660700,270157.45
2000-07-31,286500,295500,277500,295000,932300,278172.59
2000-08-01,298000,313500,293500,311000,1062400,293259.92
2000-08-02,305000,308500,296500,303500,743800,286187.73
2000-08-03,309000,309000,298500,301500,556300,284301.82
2000-08-04,296500,300500,292500,296000,472100,279115.55
