YEAR MON  SSN   DEV
1749  1  58.0  24.1
1749  2  62.6  25.1
1749  3  70.0  26.6
1749  4  55.7  23.6
1749  5  85.0  29.4
1749  6  83.5  29.2
1749  7  94.8  31.1
1749  8  66.3  25.9
1749  9  75.9  27.7
1749 10  75.5  27.7
1749 11 158.6  40.6
1749 12  85.2  29.5
1750  1  73.3  27.3
1750  2  75.9  27.7
1750  3  89.2  30.2
1750  4  88.3  30.0
1750  5  90.0  30.3
1750  6 100.0  32.0
1750  7  85.4  29.5
1750  8 103.0  32.5
1750  9  91.2  30.5
1750 10  65.7  25.7
1750 11  63.3  25.3
1750 12  75.4  27.7
1751  1  70.0  26.6
1751  2  43.5  20.8
1751  3  45.3  21.2
1751  4  56.4  23.8
1751  5  60.7  24.7
1751  6  50.7  22.5
1751  7  66.3  25.9
1751  8  59.8  24.5
1751  9  23.5  15.0
1751 10  23.2  14.9
1751 11  28.5  16.6
1751 12  44.0  20.9
1752  1  35.0  18.5
1752  2  50.0  22.3
1752  3  71.0  26.8
1752  4  59.3  24.4
1752  5  59.7  24.5
1752  6  39.6  19.8
1752  7  78.4  28.2
1752  8  29.3  16.9
1752  9  27.1  16.2
1752 10  46.6  21.5
1752 11  37.6  19.2
1752 12  40.0  19.9
1753  1  44.0  20.9
1753  2  32.0  17.7
1753  3  45.7  21.3
1753  4  38.0  19.3
1753  5  36.0  18.8
1753  6  31.7  17.6
1753  7  22.0  14.5
1753  8  39.0  19.6
1753  9  28.0  16.5
1753 10  25.0  15.5
1753 11  20.0  13.8
1753 12   6.7   7.5
1754  1   0.0   1.0
1754  2   3.0   4.7
1754  3   1.7   3.3
1754  4  13.7  11.2
1754  5  20.7  14.0
1754  6  26.7  16.1
1754  7  18.8  13.3
1754  8  12.3  10.6
1754  9   8.2   8.4
1754 10  24.1  15.2
1754 11  13.2  11.0
1754 12   4.2   5.8
1755  1  10.2   9.5
1755  2  11.2  10.0
1755  3   6.8   7.6
1755  4   6.5   7.4
1755  5   0.0   1.0
1755  6   0.0   1.0
1755  7   8.6   8.7
1755  8   3.2   4.9
1755  9  17.8  12.9
1755 10  23.7  15.1
1755 11   6.8   7.6
1755 12  20.0  13.8
1756  1  12.5  10.7
1756  2   7.1   7.8
1756  3   5.4   6.7
1756  4   9.4   9.1
1756  5  12.5  10.7
1756  6  12.9  10.9
1756  7   3.6   5.3
1756  8   6.4   7.3
1756  9  11.8  10.3
1756 10  14.3  11.5
1756 11  17.0  12.6
1756 12   9.4   9.1
1757  1  14.1  11.4
1757  2  21.2  14.2
1757  3  26.2  15.9
1757  4  30.0  17.1
1757  5  38.1  19.4
1757  6  12.8  10.8
1757  7  25.0  15.5
1757  8  51.3  22.6
1757  9  39.7  19.8
1757 10  32.5  17.8
1757 11  64.7  25.5
1757 12  33.5  18.1
1758  1  37.6  19.2
