"sepal_l","sepal_w","petal_l","petal_w","species","Output:species"
5.4,3.9,1.7,0.4,Iris-setosa,Iris-setosa
6.3,2.5,4.9,1.5,Iris-versicolor,Iris-versicolor
6.3,2.7,4.9,1.8,Iris-virginica,Iris-virginica
5.4,3.9,1.3,0.4,Iris-setosa,Iris-setosa
4.9,2.4,3.3,1.0,Iris-versicolor,Iris-versicolor
5.9,3.0,4.2,1.5,Iris-versicolor,Iris-versicolor
5.2,3.4,1.4,0.2,Iris-setosa,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa,Iris-setosa
5.4,3.7,1.5,0.2,Iris-setosa,Iris-setosa
6.4,3.1,5.5,1.8,Iris-virginica,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa,Iris-setosa
5.6,2.7,4.2,1.3,Iris-versicolor,Iris-versicolor
4.9,3.0,1.4,0.2,Iris-setosa,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa,Iris-setosa
5.6,2.8,4.9,2.0,Iris-virginica,Iris-virginica
5.5,2.5,4.0,1.3,Iris-versicolor,Iris-versicolor
4.7,3.2,1.6,0.2,Iris-setosa,Iris-setosa
6.3,2.8,5.1,1.5,Iris-virginica,Iris-virginica
5.5,2.3,4.0,1.3,Iris-versicolor,Iris-versicolor
4.8,3.0,1.4,0.3,Iris-setosa,Iris-setosa
5.0,3.2,1.2,0.2,Iris-setosa,Iris-setosa
6.0,2.7,5.1,1.6,Iris-versicolor,Iris-virginica
4.5,2.3,1.3,0.3,Iris-setosa,Iris-setosa
5.0,3.5,1.3,0.3,Iris-setosa,Iris-setosa
6.5,3.0,5.2,2.0,Iris-virginica,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica,Iris-virginica
5.1,3.5,1.4,0.2,Iris-setosa,Iris-setosa
6.6,3.0,4.4,1.4,Iris-versicolor,Iris-versicolor
4.9,3.1,1.5,0.2,Iris-setosa,Iris-setosa
6.4,3.2,5.3,2.3,Iris-virginica,Iris-virginica
6.2,2.8,4.8,1.8,Iris-virginica,Iris-virginica
4.6,3.4,1.4,0.3,Iris-setosa,Iris-setosa
6.5,2.8,4.6,1.5,Iris-versicolor,Iris-versicolor
5.4,3.4,1.5,0.4,Iris-setosa,Iris-setosa
5.8,2.7,5.1,1.9,Iris-virginica,Iris-virginica
6.2,3.4,5.4,2.3,Iris-virginica,Iris-virginica
7.7,2.8,6.7,2.0,Iris-virginica,Iris-virginica
